,universidade
0,universidade de brasília
1,universidade federal da grande dourados
2,universidade federal de goiás
3,universidade federal de mato grosso
4,universidade federal de mato grosso do sul
5,universidade federal de catalão
6,universidade federal de jataí
7,universidade federal de rondonópolis
8,universidade federal da bahia
9,universidade federal do sul da bahia
10,universidade federal do recôncavo da bahia
11,universidade federal da lusofonia afro-brasileira
12,universidade federal da paraíba
13,universidade federal do cariri
14,universidade federal de alagoas
15,universidade federal de campina grande
16,universidade federal de pernambuco
17,universidade federal de sergipe
18,universidade federal do ceará
19,universidade federal do maranhão
20,universidade federal do oeste da bahia
21,universidade federal do piauí
22,universidade federal do rio grande do norte
23,universidade federal do vale do são francisco
24,universidade federal rural de pernambuco
25,universidade federal rural do semi-árido
26,universidade federal de rondônia
27,universidade federal de roraima
28,universidade federal do acre
29,universidade federal do amapá
30,universidade federal do amazonas
31,universidade federal do oeste do pará
32,universidade federal do pará
33,universidade federal do tocantins
34,universidade federal rural da amazônia
35,universidade federal do sul e sudeste do pará
36,universidade federal de alfenas
37,universidade federal de itajubá
38,universidade federal de juiz de fora
39,universidade federal de lavras
40,universidade federal de minas gerais
41,universidade federal de ouro preto
42,universidade federal de são carlos
43,universidade federal de são joão del-rei
44,universidade federal de são paulo
45,universidade federal de uberlândia
46,universidade federal de viçosa
47,universidade federal do abc
48,universidade federal do espírito santo
49,universidade federal do estado do rio de janeiro
50,universidade federal do rio de janeiro
51,universidade federal do triângulo mineiro
52,universidade federal dos vales do jequitinhonha e mucuri
53,universidade federal fluminense
54,universidade federal rural do rio de janeiro
55,universidade tecnológica federal do paraná
56,universidade federal da fronteira sul
57,universidade federal da integração latino-americana
58,universidade federal de ciências da saúde de porto alegre
59,universidade federal de pelotas
60,universidade federal de santa catarina
61,universidade federal de santa maria
62,universidade federal do pampa
63,universidade federal do paraná
64,universidade federal do rio grande
65,universidade federal do rio grande do sul
66,universidade federal do agreste de pernambuco
67,universidade federal do delta do parnaíba
68,universidade federal do norte do tocantins
0,unb
1,ufgd
2,ufg
3,ufmt
4,ufms
5,ufcat
6,ufj
7,ufr
8,ufba
9,ufsb
10,ufrb
11,unilab
12,ufpb
13,ufca
14,ufal
15,ufcg
16,ufpe
17,ufs
18,ufc
19,ufma
20,ufob
21,ufpi
22,ufrn
23,univasf
24,ufrpe
25,ufersa
26,unir
27,ufrr
28,ufac
29,unifap
30,ufam
31,ufopa
32,ufpa
33,uft
34,ufra
35,unifesspa
36,unifal-mg
37,unifei
38,ufjf
39,ufla
40,ufmg
41,ufop
42,ufscar
43,ufsj
44,unifesp
45,ufu
46,ufv
47,ufabc
48,ufes
49,unirio
50,ufrj
51,uftm
52,ufvjm
53,uff
54,ufrrj
55,utfpr
56,uffs
57,unila
58,ufcspa
59,ufpel
60,ufsc
61,ufsm
62,unipampa
63,ufpr
64,furg
65,ufrgs
66,ufape
67,ufdpar
68,ufnt
1,universidade estadual da grande dourados
2,universidade estadual de goiás
3,universidade estadual de mato grosso
4,universidade estadual de mato grosso do sul
5,universidade estadual de catalão
6,universidade estadual de jataí
7,universidade estadual de rondonópolis
8,universidade estadual da bahia
9,universidade estadual do sul da bahia
10,universidade estadual do recôncavo da bahia
11,universidade estadual da lusofonia afro-brasileira
12,universidade estadual da paraíba
13,universidade estadual do cariri
14,universidade estadual de alagoas
15,universidade estadual de campina grande
16,universidade estadual de pernambuco
17,universidade estadual de sergipe
18,universidade estadual do ceará
19,universidade estadual do maranhão
20,universidade estadual do oeste da bahia
21,universidade estadual do piauí
22,universidade estadual do rio grande do norte
23,universidade estadual do vale do são francisco
24,universidade estadual rural de pernambuco
25,universidade estadual rural do semi-árido
26,universidade estadual de rondônia
27,universidade estadual de roraima
28,universidade estadual do acre
29,universidade estadual do amapá
30,universidade estadual do amazonas
31,universidade estadual do oeste do pará
32,universidade estadual do pará
33,universidade estadual do tocantins
34,universidade estadual rural da amazônia
35,universidade estadual do sul e sudeste do pará
36,universidade estadual de alfenas
37,universidade estadual de itajubá
38,universidade estadual de juiz de fora
39,universidade estadual de lavras
40,universidade estadual de minas gerais
41,universidade estadual de ouro preto
42,universidade estadual de são carlos
43,universidade estadual de são joão del-rei
44,universidade estadual de são paulo
45,universidade estadual de uberlândia
46,universidade estadual de viçosa
47,universidade estadual do abc
48,universidade estadual do espírito santo
49,universidade estadual do estado do rio de janeiro
50,universidade estadual do rio de janeiro
51,universidade estadual do triângulo mineiro
52,universidade estadual dos vales do jequitinhonha e mucuri
53,universidade estadual fluminense
54,universidade estadual rural do rio de janeiro
55,universidade tecnológica estadual do paraná
56,universidade estadual da fronteira sul
57,universidade estadual da integração latino-americana
58,universidade estadual de ciências da saúde de porto alegre
59,universidade estadual de pelotas
60,universidade estadual de santa catarina
61,universidade estadual de santa maria
62,universidade estadual do pampa
63,universidade estadual do paraná
64,universidade estadual do rio grande
65,universidade estadual do rio grande do sul
66,universidade estadual do agreste de pernambuco
67,universidade estadual do delta do parnaíba
68,universidade estadual do norte do tocantins
69,universidade federal
70,universidade estadual
71,pp
