dd	EDSS.0.0	EDSS.1.0	EDSS.1.5	EDSS.2.0	EDSS.2.5	EDSS.3.0	EDSS.3.5	EDSS.4.0	EDSS.4.5	EDSS.5.0	EDSS.5.5	EDSS.6.0	EDSS.6.5	EDSS.7.0	EDSS.7.5	EDSS.8.0	EDSS.8.5	EDSS.9.0	EDSS.9.5																	
dd0	0.823	2.851	4.741	6.326	7.47	8.034	8.582	9.085	9.405	9.512	9.604	9.756	9.839	9.898	9.909	9.954	9.984	9.983	9.998
dd1	0.671	2.436	4.295	5.866	7.08	7.929	8.642	9.092	9.346	9.499	9.626	9.737	9.839	9.898	9.941	9.966	9.984	9.983	9.998
dd2	0.528	2.011	3.693	5.236	6.464	7.271	7.983	8.575	8.946	9.179	9.378	9.586	9.786	9.876	9.931	9.967	9.988	9.994	9.995
dd3	0.45	1.768	3.339	4.825	6.002	6.821	7.541	8.138	8.555	8.831	9.073	9.349	9.625	9.773	9.857	9.921	9.972	9.983	9.994
dd4	0.345	1.446	2.871	4.275	5.418	6.248	6.986	7.652	8.119	8.424	8.707	9.079	9.47	9.683	9.802	9.878	9.95	9.975	9.992
dd5	0.3	1.282	2.597	3.897	4.942	5.79	6.574	7.259	7.753	8.078	8.381	8.827	9.317	9.595	9.763	9.862	9.946	9.975	9.992
dd6	0.254	1.13	2.327	3.539	4.546	5.382	6.138	6.807	7.325	7.66	7.981	8.496	9.08	9.453	9.681	9.814	9.925	9.966	9.992
dd7	0.238	1.039	2.103	3.17	4.126	4.966	5.749	6.463	6.981	7.324	7.655	8.243	8.914	9.328	9.592	9.758	9.895	9.954	9.99
dd8	0.209	0.937	1.922	2.926	3.808	4.568	5.357	6.1	6.605	6.951	7.321	7.967	8.708	9.211	9.549	9.739	9.887	9.956	9.99
dd9	0.206	0.881	1.757	2.649	3.448	4.163	4.929	5.64	6.133	6.501	6.901	7.652	8.526	9.093	9.471	9.701	9.865	9.945	9.987
dd10	0.188	0.776	1.532	2.341	3.099	3.789	4.544	5.267	5.762	6.125	6.567	7.385	8.303	8.921	9.335	9.607	9.83	9.935	9.986
dd11	0.167	0.704	1.395	2.128	2.817	3.456	4.202	4.93	5.409	5.803	6.287	7.168	8.144	8.785	9.239	9.523	9.778	9.918	9.978
dd12	0.155	0.641	1.279	1.978	2.635	3.246	3.935	4.621	5.115	5.526	6.014	6.909	7.92	8.625	9.13	9.431	9.712	9.883	9.965
dd13	0.134	0.564	1.134	1.795	2.44	3.048	3.694	4.375	4.901	5.311	5.785	6.722	7.821	8.546	9.029	9.337	9.654	9.855	9.959
dd14	0.11	0.487	1.029	1.7	2.332	2.91	3.548	4.255	4.806	5.223	5.687	6.542	7.574	8.335	8.858	9.2	9.574	9.819	9.952
dd15	0.098	0.453	0.994	1.642	2.259	2.824	3.441	4.135	4.672	5.087	5.502	6.325	7.402	8.169	8.703	9.107	9.508	9.78	9.944
dd16	0.086	0.384	0.854	1.425	1.993	2.56	3.175	3.869	4.414	4.813	5.187	6	7.138	7.966	8.541	9.041	9.485	9.754	9.94
dd17	0.053	0.318	0.763	1.277	1.77	2.304	2.953	3.654	4.168	4.555	4.939	5.742	6.892	7.765	8.381	8.993	9.523	9.788	9.955
dd18	0.043	0.26	0.657	1.116	1.566	2.085	2.695	3.374	3.897	4.278	4.628	5.437	6.626	7.543	8.227	8.94	9.511	9.775	9.957
dd19	0.054	0.277	0.631	1.004	1.39	1.889	2.502	3.197	3.733	4.133	4.5	5.354	6.589	7.507	8.215	8.978	9.573	9.814	9.964
dd20	0.049	0.261	0.587	0.942	1.292	1.706	2.293	2.993	3.521	3.94	4.31	5.163	6.435	7.451	8.225	8.984	9.581	9.803	9.951
dd21	0.049	0.301	0.657	1.024	1.386	1.774	2.338	2.968	3.428	3.828	4.211	5.093	6.353	7.333	8.083	8.866	9.491	9.77	9.962
dd22	0.035	0.234	0.544	0.902	1.276	1.663	2.196	2.816	3.285	3.694	4.093	5.035	6.352	7.348	8.103	8.835	9.42	9.725	9.947
dd23	0.053	0.274	0.581	0.908	1.255	1.642	2.19	2.784	3.211	3.685	4.186	5.16	6.469	7.457	8.198	8.865	9.433	9.753	9.953
dd24	0.045	0.242	0.522	0.862	1.248	1.626	2.148	2.708	3.094	3.517	4.009	5.03	6.362	7.383	8.147	8.812	9.387	9.735	9.955
dd25	0.05	0.233	0.474	0.765	1.148	1.556	2.047	2.529	2.837	3.211	3.744	4.875	6.256	7.238	8.003	8.727	9.351	9.75	9.975
dd26	0.047	0.198	0.452	0.782	1.168	1.582	2.081	2.627	2.994	3.399	3.945	5.019	6.394	7.439	8.211	8.889	9.482	9.802	9.962
dd27	0.053	0.224	0.481	0.78	1.154	1.56	2.03	2.564	2.906	3.291	3.857	4.925	6.325	7.382	8.141	8.91	9.562	9.85	9.979
dd28	0.036	0.166	0.404	0.736	1.164	1.52	1.876	2.387	2.755	3.04	3.456	4.537	5.986	7.067	7.898	8.753	9.454	9.798	9.976
dd29	0.025	0.177	0.468	0.797	1.19	1.506	1.785	2.266	2.684	3.013	3.405	4.354	5.684	6.759	7.658	8.62	9.38	9.747	9.962
dd30	0.01	0.134	0.445	0.816	1.187	1.454	1.691	2.226	2.745	3.131	3.501	4.347	5.608	6.662	7.537	8.472	9.273	9.674	9.911
